Subject,Gender,Age,HouseholdIncome,MaterialHardship,ReverseTimes_R,Accuracy_R,RT_R,ReverseTimes_P,Accuracy_P,RT_P,PositiveLearningRate_R,NegtiveLearningRate_R,DecisionBias_R,InverseTemperature_R,PositiveLearningRate_P,NegtiveLearningRate_P,DecisionBias_P,InverseTemperature_P,Accuracy_SimonEffect,RT_SimonEffect
402001,2.00,19.00,3,1.00,4.00,0.75,0.53,1.00,0.64,0.49,0.5659270,0.6867349,0.024751093,1.3556117,0.7101256,0.6340554,-0.060431479,2.0159205,-0.071,0.150
402002,2.00,19.00,1,2.25,5.00,0.78,0.73,5.00,0.77,0.64,0.5659562,0.5848102,-0.031458526,0.8419856,0.7244768,0.4956041,-0.082794108,1.5255049,0.000,0.079
402003,2.00,18.00,5,1.25,4.00,0.72,0.48,4.00,0.68,0.49,0.6935829,0.5065091,-0.158234617,1.8894222,0.6776679,0.3926456,-0.072874301,1.5265061,-0.036,0.084
402004,2.00,18.00,6,1.50,3.00,0.72,0.55,3.00,0.75,0.59,0.6688528,0.7186209,-0.102371717,2.5355581,0.7071859,0.7602114,-0.063401776,2.4450296,-0.036,0.091
402005,2.00,18.00,3,1.75,2.00,0.70,0.66,4.00,0.65,0.63,0.5291714,0.5684084,-0.005588420,1.5978577,0.6599811,0.6721887,-0.077731969,1.0349039,-0.071,0.200
402006,2.00,19.00,3,3.25,3.00,0.65,0.63,7.00,0.82,0.60,0.6660556,0.5808378,-0.209936116,1.3854787,0.6969855,0.5842476,-0.054510204,1.5962418,0.000,0.020
402007,2.00,18.00,4,1.00,3.00,0.77,0.68,4.00,0.70,0.64,0.6777541,0.7010702,-0.074534405,2.2034961,0.7009208,0.7550995,-0.086640452,2.4720834,-0.143,0.108
402008,2.00,18.00,1,4.25,4.00,0.77,0.53,5.00,0.72,0.61,0.6873350,0.6364861,-0.296213040,2.2769667,0.7410696,0.4661309,-0.022995887,1.5781158,-0.071,0.063
402011,2.00,18.00,2,3.75,2.00,0.70,0.55,4.00,0.78,0.58,0.5649158,0.7016619,-0.044606143,1.6156197,0.7086800,0.6738464,-0.042752457,1.6457029,0.000,0.068
402012,2.00,18.00,3,3.00,2.00,0.60,0.64,3.00,0.60,0.63,0.7140367,0.5185108,-0.427971214,1.2070763,0.7160283,0.2986380,-0.145311697,2.4304382,-0.036,0.060
402013,1.00,19.00,1,2.25,1.00,0.67,0.53,6.00,0.77,0.64,0.7348863,0.5011903,0.075252945,1.1765914,0.7405708,0.5223095,-0.044483107,1.0768261,-0.036,0.116
402014,1.00,18.00,5,2.25,4.00,0.73,0.42,2.00,0.73,0.54,0.6927098,0.5602034,0.059466688,1.9686183,0.7166497,0.5137773,-0.110391878,1.4699236,-0.107,0.099
