subjID	subjIDx	block	nTrial	reversals	corrAns	choice	outcome	rt
1	402001	2	1	0	1	1	-1	0.4804586685131653
1	402001	2	2	0	0	2	-1	0.5344907221337962
1	402001	2	3	0	0	2	-1	0.5445258632238392
1	402001	2	4	0	1	1	1	0.5952111247829635
1	402001	2	5	0	1	1	1	0.4099125697925956
1	402001	2	6	0	1	1	1	0.5126170940275188
1	402001	2	7	0	1	1	1	0.439267230985024
1	402001	2	8	0	1	1	-1	0.3813147301966637
1	402001	2	9	0	0	2	1	0.4353291617458126
1	402001	2	10	0	0	2	-1	0.5213347637095467
1	402001	2	11	0	1	1	1	0.5753606341472732
1	402001	2	12	0	1	1	1	0.6301052996059298
1	402001	2	13	0	1	1	1	0.5867293435317151
1	402001	2	14	0	1	1	1	0.3854382949252795
1	402001	2	15	0	1	1	1	0.4080931682010487
1	402001	2	16	0	1	1	1	0.3659665242471419
1	402001	2	17	1	0	1	-1	0.5161300694371675
1	402001	2	18	1	1	2	1	0.682825900116768
1	402001	2	19	1	1	2	1	0.384857694044058
1	402001	2	20	1	1	2	1	0.4427972101480009
1	402001	2	21	1	1	2	1	0.593469012978403
1	402001	2	22	1	1	2	1	0.4522605716970247
1	402001	2	23	1	1	2	1	0.4736148124329702
1	402001	2	24	2	0	2	-1	0.4314714738852672
1	402001	2	25	2	1	1	-1	0.4575654335335457
1	402001	2	26	2	0	2	1	0.50894057342839
1	402001	2	27	2	0	2	-1	0.3909552399386484
1	402001	2	28	2	0	2	-1	0.7176214531714322
1	402001	2	29	2	1	1	1	0.5775977097491705
1	402001	2	30	2	1	1	1	0.9844196155299868
1	402001	2	31	2	1	1	1	0.5143851752004593
1	402001	2	32	2	1	1	1	0.5644361864601706
1	402001	2	33	2	1	1	-1	0.6031206524494337
1	402001	2	34	2	0	2	1	0.41637646927893
1	402001	2	35	2	0	2	-1	0.5192096037199008
1	402001	2	36	2	1	1	-1	0.4138855740156941
1	402001	2	37	2	0	2	-1	0.7412495594480788
1	402001	2	38	2	1	1	1	0.6039028250961564
1	402001	2	39	2	1	1	1	0.434636026933731
1	402001	2	40	2	1	1	1	0.4280948376604101
1	402001	2	41	2	1	1	1	0.4793580619430031
1	402001	2	42	2	1	1	1	0.5172068707529434
1	402001	2	43	2	1	1	1	0.4273908822783596
1	402001	2	44	2	1	1	1	0.5619724972020776
1	402001	2	45	3	0	1	-1	0.5847519616149839
1	402001	2	46	3	1	2	-1	1.102741932491881
1	402001	2	47	3	0	1	1	0.5200542265147305
1	402001	2	48	3	0	1	-1	0.7474778796631654
1	402001	2	49	3	0	1	-1	0.5445258632238392
1	402001	2	50	3	1	2	1	0.6648263453057552
1	402001	2	51	3	1	2	1	0.4028096383458432
1	402001	2	52	3	1	2	-1	0.4901875977716372
1	402001	2	53	3	0	1	-1	0.4004250938296536
1	402001	2	54	3	0	1	-1	0.4356210079822631
1	402001	2	55	3	1	2	1	0.3303319132623983
1	402001	2	56	3	1	2	1	0.5936603824916347
1	402001	2	57	3	1	2	1	0.3956328178619515
1	402001	2	58	3	1	2	1	0.3983821701735905
1	402001	2	59	3	1	2	1	0.4049675692053824
1	402001	2	60	3	1	2	-1	0.4589597412955299
2	402002	2	1	0	1	1	1	0.5715134000001854
2	402002	2	2	0	1	1	1	0.5731509999995978
2	402002	2	3	0	1	1	-1	0.5321776000000682
2	402002	2	4	0	1	1	1	0.4947784999994837
2	402002	2	5	0	1	1	1	1.5
2	402002	2	6	0	0	2	-1	0.6802956999999878
2	402002	2	7	0	1	1	1	0.5578312999996342
2	402002	2	8	0	1	1	1	0.4430408999996871
2	402002	2	9	0	1	1	1	0.9032177999997656
2	402002	2	10	0	1	1	1	0.7466861000002609
2	402002	2	11	0	1	1	1	0.71762630000012
2	402002	2	12	0	1	1	-1	0.7180337999998301
2	402002	2	13	0	0	2	1	0.6210937000005288
2	402002	2	14	0	0	2	-1	0.4266379999999117
2	402002	2	15	0	0	2	-1	0.603232599999501
2	402002	2	16	0	1	1	1	0.4777106999999887
2	402002	2	17	0	1	1	1	0.6435832000006485
2	402002	2	18	0	1	1	-1	0.699831500000073
2	402002	2	19	0	0	2	-1	0.5415829000003214
2	402002	2	20	0	1	1	1	0.4487889000001814
2	402002	2	21	0	1	1	1	0.5010245000003124
2	402002	2	22	0	1	1	1	0.7688860999996905
2	402002	2	23	0	1	1	1	0.5060720000001311
2	402002	2	24	0	1	1	1	0.5696088000004238
2	402002	2	25	0	1	1	-1	0.5530642000003354
2	402002	2	26	0	1	1	1	0.5098103999998784
2	402002	2	27	1	0	1	-1	0.5724360000003799
2	402002	2	28	1	0	1	-1	0.5529065000000628
2	402002	2	29	1	1	2	1	0.5912735000001703
2	402002	2	30	1	0	1	1	0.8018690999997489
2	402002	2	31	1	0	1	-1	0.5684766000003947
2	402002	2	32	1	0	1	-1	0.5181485000002795
2	402002	2	33	1	1	2	1	0.6397700999996232
2	402002	2	34	1	1	2	1	0.6009874999999738
2	402002	2	35	1	1	2	1	0.596551300000101
2	402002	2	36	1	1	2	1	0.6001851999999417
2	402002	2	37	1	1	2	1	0.60817009999937
2	402002	2	38	1	1	2	1	0.5147004999998899
2	402002	2	39	1	1	2	-1	0.5045093999997334
2	402002	2	40	2	0	2	-1	0.5867677000005642
2	402002	2	41	2	1	1	1	0.5754422999998496
2	402002	2	42	2	1	1	1	0.4463489999998273
2	402002	2	43	2	1	1	1	0.5438571000004231
2	402002	2	44	2	1	1	1	0.4457015000007231
2	402002	2	45	2	1	1	1	0.5610617000002094
2	402002	2	46	2	1	1	1	0.5075951999997415
2	402002	2	47	3	0	1	-1	0.4947707999999693
2	402002	2	48	3	1	2	1	0.5583513000001403
2	402002	2	49	3	1	2	1	0.537868499999604
2	402002	2	50	3	1	2	1	0.4515185000000201
2	402002	2	51	3	1	2	-1	0.5108202999999776
2	402002	2	52	3	0	1	-1	0.6076378000007026
2	402002	2	53	3	0	1	-1	0.5800495593220442
2	402002	2	54	3	1	2	1	0.4091123999996853
2	402002	2	55	3	1	2	1	0.4971734999999171
2	402002	2	56	3	1	2	1	0.6550690999993094
2	402002	2	57	3	1	2	1	0.6347590999994281
2	402002	2	58	3	1	2	1	0.5003332999995109
2	402002	2	59	3	1	2	1	0.5518707999999606
2	402002	2	60	3	1	2	1	0.5964532000007239
3	402003	2	1	1	0	1	1	0.3644375000003492
3	402003	2	2	1	0	1	1	0.5730409000025247
3	402003	2	3	1	0	1	-1	0.422848400001385
3	402003	2	4	1	0	1	-1	0.4905287999972643
3	402003	2	5	1	1	2	1	0.5922907999993186
3	402003	2	6	1	1	2	-1	0.3919767000006686
3	402003	2	7	1	1	2	1	0.4185883999998623
3	402003	2	8	1	0	1	-1	0.4864153000016813
3	402003	2	9	1	1	2	1	0.4084604000017862
3	402003	2	10	1	1	2	1	0.4857267000006686
3	402003	2	11	1	1	2	1	0.5493739000012283
