subjID	subjIDx	block	nTrial	reversals	corrAns	choice	outcome	rt
1	402001	1	1	0	1	1	1	0.7169542877281856
1	402001	1	2	0	1	1	1	0.3544664222249594
1	402001	1	3	0	0	2	-1	1.5
1	402001	1	4	0	1	1	-1	0.5758447773746411
1	402001	1	5	0	0	2	-1	0.8212107908907456
1	402001	1	6	0	1	1	1	0.4139644095985204
1	402001	1	7	0	1	1	-1	0.50052062400664
1	402001	1	8	0	0	2	1	0.2801003530598791
1	402001	1	9	0	1	1	1	0.6066351736544675
1	402001	1	10	0	0	2	-1	0.3893562688199381
1	402001	1	11	0	1	1	1	0.2872988146841635
1	402001	1	12	0	0	2	-1	0.7387113628351472
1	402001	1	13	0	0	2	-1	0.6686395142487527
1	402001	1	14	0	1	1	1	0.4954102232745754
1	402001	1	15	0	1	1	-1	0.5488109739130778
1	402001	1	16	0	1	1	1	0.9707856970612738
1	402001	1	17	0	1	1	1	0.5614939188394601
1	402001	1	18	0	0	2	-1	0.375524488496012
1	402001	1	19	0	1	1	1	0.7687634870676447
1	402001	1	20	0	1	1	1	0.5670467263134924
1	402001	1	21	0	1	1	1	0.4902998225425108
1	402001	1	22	0	1	1	1	0.4803322224215662
1	402001	1	23	0	1	1	1	0.3742995999482446
1	402001	1	24	0	1	1	1	0.7009617941125725
1	402001	1	25	0	1	1	1	0.4501756023964844
1	402001	1	26	1	0	1	1	0.5556208224870716
1	402001	1	27	1	0	1	-1	0.4944202956799017
1	402001	1	28	1	1	2	1	0.5169604709108171
1	402001	1	29	1	1	2	-1	0.6224730876961075
1	402001	1	30	1	0	1	-1	0.4044076819864131
1	402001	1	31	1	1	2	1	0.4558118828413171
1	402001	1	32	1	1	2	1	0.4931270829597451
1	402001	1	33	1	1	2	1	0.5958529391759839
1	402001	1	34	1	1	2	1	0.5545854484971642
1	402001	1	35	1	1	2	-1	0.529216776211797
1	402001	1	36	1	0	1	-1	0.6959088969820186
1	402001	1	37	1	1	2	1	0.4779322199483431
1	402001	1	38	1	1	2	1	0.4526068299437611
1	402001	1	39	1	1	2	1	0.6192989507139828
1	402001	1	40	1	1	2	1	0.769925616308683
1	402001	1	41	1	1	2	1	0.395297071026107
1	402001	1	42	1	1	2	1	0.3500030915915886
1	402001	1	43	2	0	2	-1	0.4874812185817063
1	402001	1	44	2	1	1	1	0.3939679958448323
1	402001	1	45	2	1	1	1	0.4035599676003585
1	402001	1	46	2	1	1	1	0.5379805106072126
1	402001	1	47	2	1	1	1	0.3814779662275214
1	402001	1	48	2	1	1	1	0.470320103382619
1	402001	1	49	2	1	1	1	0.4760976695579302
1	402001	1	50	3	0	1	-1	0.5242761143326865
1	402001	1	51	3	1	2	-1	0.4055812501160289
1	402001	1	52	3	0	1	-1	0.5875770579177697
1	402001	1	53	3	1	2	1	0.4022840677926069
1	402001	1	54	3	1	2	1	0.3596275250570215
1	402001	1	55	3	1	2	1	0.5416316801565699
1	402001	1	56	3	1	2	1	0.535583290566592
1	402001	1	57	3	1	2	1	0.3776898391756731
1	402001	1	58	3	1	2	1	0.5443720668527021
1	402001	1	59	3	1	2	1	0.4550018858708426
1	402001	1	60	4	0	2	1	0.4283297986135039
2	402002	1	1	0	1	1	1	0.2880329999998139
2	402002	1	2	0	1	1	1	0.433469800000239
2	402002	1	3	0	0	2	-1	1.5
2	402002	1	4	0	1	1	-1	0.6002987000001667
2	402002	1	5	0	1	1	1	1.160034600000472
2	402002	1	6	0	0	2	-1	0.731253466101669
2	402002	1	7	0	0	2	1	0.8123090999997657
2	402002	1	8	0	1	1	-1	0.5448472999996739
2	402002	1	9	0	1	1	1	0.7522067999998399
2	402002	1	10	0	0	2	-1	0.58198209999955
2	402002	1	11	0	1	1	1	0.4796747000000323
2	402002	1	12	0	1	1	-1	0.6389411000000109
2	402002	1	13	0	1	1	1	0.6840682000001834
2	402002	1	14	0	0	2	-1	1.281901899999866
2	402002	1	15	0	1	1	1	0.6967309000001478
2	402002	1	16	0	1	1	1	0.9916008999998668
2	402002	1	17	0	1	1	1	0.7475498000003427
2	402002	1	18	0	1	1	1	0.7989524999993591
2	402002	1	19	0	1	1	1	0.8430098999997426
2	402002	1	20	0	1	1	-1	0.8888584999995146
2	402002	1	21	1	1	2	1	0.7294274999994741
2	402002	1	22	1	1	2	1	0.7904183000000558
2	402002	1	23	1	1	2	1	0.6339152999998987
2	402002	1	24	1	1	2	1	0.7007418000002872
2	402002	1	25	1	1	2	1	1.1597573000008197
2	402002	1	26	1	1	2	1	0.6150614999996833
2	402002	1	27	2	0	2	-1	0.955807499999537
2	402002	1	28	2	1	1	1	0.7685458999994808
2	402002	1	29	2	1	1	1	0.8135868000008486
2	402002	1	30	2	1	1	1	0.8541157999998177
2	402002	1	31	2	1	1	1	0.7432733000005101
2	402002	1	32	2	1	1	1	0.7917262999999366
2	402002	1	33	2	1	1	1	0.7795244999997522
2	402002	1	34	3	1	2	1	0.6813699999993332
2	402002	1	35	3	1	2	1	0.756248499999856
2	402002	1	36	3	1	2	1	0.6258976999997685
2	402002	1	37	3	1	2	1	0.6666571000005206
2	402002	1	38	3	1	2	1	0.6805416000006517
2	402002	1	39	3	1	2	-1	0.7727298999998311
2	402002	1	40	4	1	1	1	0.8054037000001699
2	402002	1	41	4	1	1	-1	0.7199730000002091
2	402002	1	42	4	0	2	-1	0.949106999999458
2	402002	1	43	4	0	2	1	0.4791160000004311
2	402002	1	44	4	1	1	1	0.7935406000005969
2	402002	1	45	4	0	2	-1	0.4151088000007803
2	402002	1	46	4	1	1	1	0.8008303999995405
2	402002	1	47	4	1	1	-1	0.6733433999997942
2	402002	1	48	4	1	1	-1	0.6202910000001793
2	402002	1	49	4	1	1	1	0.9398191999998744
2	402002	1	50	4	0	2	-1	0.5522131999996418
2	402002	1	51	4	0	2	-1	0.4621618999999555
2	402002	1	52	4	0	2	-1	0.8094393000001219
2	402002	1	53	4	1	1	1	0.8507865999999922
2	402002	1	54	4	1	1	1	0.4501706999999442
2	402002	1	55	4	1	1	1	0.8203743000003669
2	402002	1	56	4	1	1	1	0.5032973999996102
2	402002	1	57	4	1	1	1	0.6697391999996398
2	402002	1	58	4	1	1	1	0.5964997000000949
2	402002	1	59	5	0	1	-1	0.6530890000003637
2	402002	1	60	5	1	2	1	0.455585599999722
3	402003	1	1	0	1	1	1	0.328131399997801
3	402003	1	2	0	1	1	1	0.4293695999986084
3	402003	1	3	0	1	1	-1	0.6032230999990134
3	402003	1	4	0	1	1	1	0.48606565833324566
3	402003	1	5	0	1	1	1	0.3862226999990525
3	402003	1	6	0	1	1	1	0.4849087000002328
3	402003	1	7	1	0	1	-1	0.4431444000001647
3	402003	1	8	1	0	1	-1	0.4358586999987892
3	402003	1	9	1	1	2	1	0.5131617999977607
3	402003	1	10	1	1	2	1	0.359443100001954
3	402003	1	11	1	1	2	1	0.399522399999114
3	402003	1	12	1	1	2	1	0.5262895999985631
3	402003	1	13	1	1	2	-1	0.4843857000014395
3	402003	1	14	1	0	1	1	0.6051819999993313
3	402003	1	15	1	0	1	-1	0.4411292000004323
3	402003	1	16	1	1	2	1	0.4597495999987586
3	402003	1	17	1	1	2	-1	0.53074910000214
3	402003	1	18	1	0	1	-1	0.5058647000005294
3	402003	1	19	1	0	1	-1	0.6318683000026795
3	402003	1	20	1	1	2	1	0.4478976999998849
3	402003	1	21	1	1	2	1	0.5027800999996543
3	402003	1	22	1	1	2	1	0.3504200999996101
3	402003	1	23	1	1	2	1	0.4688709000001836
3	402003	1	24	1	1	2	1	0.7566216999985045
3	402003	1	25	1	1	2	1	0.5009778999992704
3	402003	1	26	1	1	2	-1	0.4423751000031188
3	402003	1	27	2	0	2	1	0.6864341000000422
3	402003	1	28	2	0	2	-1	0.3869451000027766
3	402003	1	29	2	1	1	1	0.4730030999999144
3	402003	1	30	2	1	1	1	0.4875861000000441
3	402003	1	31	2	1	1	1	0.4626234999996086
3	402003	1	32	2	1	1	1	0.5209222000012232
3	402003	1	33	2	1	1	1	0.4622240999997302
3	402003	1	34	2	1	1	1	0.5143558000017947
3	402003	1	35	2	1	1	1	0.4425464999985706
3	402003	1	36	3	0	1	-1	0.4919985000015003
3	402003	1	37	3	1	2	1	0.3104987000006076
3	402003	1	38	3	1	2	-1	0.5278619999990042
3	402003	1	39	3	0	1	1	0.5194584999990184
3	402003	1	40	3	0	1	-1	0.4267933999981324
3	402003	1	41	3	0	1	-1	0.3238003000005847
3	402003	1	42	3	1	2	1	0.4145959999987099
3	402003	1	43	3	1	2	1	0.4763955999987956
3	402003	1	44	3	1	2	1	0.4577805000008084
3	402003	1	45	3	1	2	1	0.7595651999981783
3	402003	1	46	3	0	1	-1	0.3785496000018611
3	402003	1	47	3	1	2	1	0.4982129999989411
3	402003	1	48	3	1	2	1	0.431278599997313
3	402003	1	49	3	1	2	1	0.412444300000061
3	402003	1	50	3	1	2	1	0.4261315000003378
3	402003	1	51	3	1	2	-1	0.3652311000005284
3	402003	1	52	3	1	2	1	0.4521891000003961
3	402003	1	53	4	0	2	1	0.4186203999997815
3	402003	1	54	4	0	2	-1	0.535997100003442
3	402003	1	55	4	0	2	-1	0.3917476999995415
3	402003	1	56	4	1	1	1	0.4280665999976918
3	402003	1	57	4	1	1	-1	0.7034426999998686
3	402003	1	58	4	0	2	-1	0.6433206000001519
3	402003	1	59	4	1	1	1	0.4005375000015192
3	402003	1	60	4	1	1	1	0.6322048000001814
4	402004	1	1	0	0	2	-1	0.5281532687404251
4	402004	1	2	0	1	1	1	0.421633102288979
4	402004	1	3	0	1	1	-1	0.5716361938793852
4	402004	1	4	0	0	2	-1	0.6263072794608888
4	402004	1	5	0	1	1	1	0.5523363156880805
4	402004	1	6	0	1	1	1	0.4784126532667869
4	402004	1	7	0	1	1	1	0.4523925826542836
4	402004	1	8	0	1	1	1	0.6823884399200324
4	402004	1	9	0	1	1	1	0.3690779019234469
4	402004	1	10	0	1	1	1	0.3911030180115631
4	402004	1	11	0	1	1	1	0.4758160255732946
4	402004	1	12	1	0	1	1	0.4178508492605033
4	402004	1	13	1	0	1	-1	0.632510866944358
4	402004	1	14	1	1	2	1	0.5614211721198968
4	402004	1	15	1	1	2	-1	0.7418882822494197
4	402004	1	16	1	0	1	-1	1.1485518985464296
4	402004	1	17	1	1	2	1	0.978594129686826
4	402004	1	18	1	1	2	1	0.6038521229966136
4	402004	1	19	1	1	2	-1	0.5753127144798782
4	402004	1	20	1	0	1	-1	0.5047610508936486
4	402004	1	21	1	1	2	1	0.4273627487946214
4	402004	1	22	1	1	2	1	0.6253643440577434
4	402004	1	23	1	1	2	1	0.4753154969112074
4	402004	1	24	1	1	2	-1	0.9459469235571304
4	402004	1	25	1	0	1	-1	0.6766207668388233
4	402004	1	26	1	1	2	1	0.66746099957345
4	402004	1	27	1	1	2	1	0.5013828688734066
